Species,Plant height,Leaf height,No. of leaves in a cluster,Leaf Width,Leaf length width ratio,Average angle of leaf divergence from vertical.
Sanseveria Liberica,35.5,33,4,7,4.714285714,28.8
Sanseveria Liberica,32,26,5,5.9,4.406779661,39.7
Sanseveria Liberica,32,28,5,6.3,4.444444444,42
Sanseveria Liberica,32,32,5,6.9,4.637681159,45.3
Sanseveria Liberica,32,29,5,6.4,4.53125,50.1
Sanseveria Liberica,27,30,5,6.6,4.545454545,34.5
Sanseveria Liberica,27,34,5,7.3,4.657534247,70.6
Sanseveria Liberica,27,21.5,5,4.9,4.387755102,32.8
Sanseveria Liberica,27,23.5,5,5.3,4.433962264,35
Sanseveria Liberica,27,27,6,6.1,4.426229508,38.2
Sanseveria Liberica,28,24.5,6,5.6,4.375,65.4
Sanseveria Liberica,28,26.5,6,6,4.416666667,36.9
Sanseveria Liberica,28,22.8,6,5,4.56,29.5
Sanseveria Liberica,28,20.5,7,4.7,4.361702128,40.8
Sanseveria Liberica,32.5,25.5,7,5.8,4.396551724,41.3
Sanseveria Liberica,32.5,29.5,7,6.5,4.538461538,46.7
Sanseveria Liberica,32.5,28.5,7,6.3,4.523809524,49.8
Sanseveria Liberica,32.5,30.5,4,6.7,4.552238806,35.7
Sanseveria Liberica,32.5,32.5,4,7,4.642857143,69.2
Sanseveria Liberica,32.5,31.5,4,6.8,4.632352941,31.7
Sanseveria Liberica,32.5,26.2,4,6,4.366666667,36.2
Sanseveria Liberica,30,27.8,5,6.2,4.483870968,39.1
Sanseveria Liberica,30,24.2,5,5.5,4.4,67
Sanseveria Liberica,30,21.2,5,4.8,4.416666667,38.5
Sanseveria Liberica,30,22.2,5,5,4.44,30.3
Sanseveria Liberica,33,23.2,6,5.2,4.461538462,44.6
Sanseveria Liberica,33,15,6,4.7,3.191489362,33.8
Sanseveria Liberica,33,24,6,5.5,4.363636364,76
Sanseveria Liberica,33,33,6,7,4.714285714,29.5
Sanseveria Liberica,28,20.5,7,4.7,4.361702128,
Sanseveria Liberica,,25.5,7,5.8,4.396551724,41.3
Dracaena Trifasciata,90,90,4,4,22.5,14.8
Dracaena Trifasciata,90,65,,6.5,10,9
Sansevieria trifasciata Hahnii,,18,15,12.5,1.44,18
Sansevieria trifasciata Hahnii,26,19,15,8.6,2.209302326,
Sansevieria trifasciata Hahnii,,20,18,11,1.818181818,34.72
Sansevieria trifasciata Hahnii,50,18,15,12.5,1.44,18
